Candidate ID Number,Position Title,Department,Furthest Recruiting Stage Reached,Date of Application,Application Source,Years of Experience,Candidate Type,Degree,School,Major,Degree,School,Major,Degree,School,Major,Degree,School,Major
2515262,Sr. Software Engineer,Engineering,New Application,9/18/17,Advertisement,15,Experienced,Bachelors,Georgia Tech,Statistics,,,,,,,,,
747636,Associate Relationship Manager,Sales,In-House Interview,9/8/17,Campus Event,0,Campus,Bachelors,University of Texas,Political Science,Bachelors,NYU,Business,,,,,,
7925,System Engineer,Engineering,New Application,1/10/16,Advertisement,1,Campus,Bachelors,University of Texas,English,,,,,,,,,
36395,System Engineer,Engineering,New Application,9/22/18,Career Fair,0,Campus,Bachelors,UC Berkeley,Mathematics,,,,,,,,,
5109986,System Engineer,Engineering,New Application,11/16/16,Campus Job Board,0,Campus,Bachelors,Columbia,Computer Science,,,,,,,,,
123866,Associate Product Manager,Product,New Application,10/1/18,Campus Job Board,0,Campus,Bachelors,MIT,Business,,,,,,,,,
5589284,Financial Analyst,Finance,New Application,3/12/18,Campus Event,0,Campus,Bachelors,University of Michigan,Computer Science,,,,,,,,,
1363034,System Engineer,Engineering,New Application,9/11/17,Advertisement,2,Campus,PhD,Columbia,Computer Science,Bachelors,Columbia,Mathematics,,,,,,
6292649,Associate Relationship Manager,Sales,Phone Screen,2/12/17,Campus Job Board,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,
157311,System Engineer,Engineering,New Application,8/21/18,Career Fair,0,Campus,Bachelors,MIT,Mathematics,,,,,,,,,
62496,System Engineer,Engineering,Phone Screen,8/4/18,Campus Event,0,Campus,Bachelors,Georgia Tech,Computer Science,,,,,,,,,
6165431,Associate Relationship Manager,Sales,Phone Screen,11/23/18,Campus Job Board,0,Campus,Masters,MIT,Economics,Bachelors,Columbia,English,,,,,,
91296,System Engineer,Engineering,New Application,9/4/18,Career Fair,0,Campus,Bachelors,Columbia,Statistics,,,,,,,,,
65655,Operations Coordinator,Operations,New Application,10/10/18,Career Fair,0,Campus,Bachelors,NYU,Statistics,,,,,,,,,
6079082,System Engineer,Engineering,Phone Screen,9/8/17,Campus Event,0,Campus,Bachelors,NYU,Physics,PhD,Vanderbilt,Computer Science,,,,,,
4532732,System Engineer,Engineering,In-House Interview,1/26/17,Advertisement,3,Campus,Bachelors,University of Texas,Statistics,,,,,,,,,
172118,System Engineer,Engineering,New Application,8/15/18,Career Fair,0,Campus,Bachelors,University of Washington,Computer Science,,,,,,,,,
2103956,Finance Manager,Finance,New Application,3/3/18,Agency,8,Experienced,Bachelors,University of Texas,Economics,,,,,,,,,
3773651,System Engineer,Engineering,New Application,9/30/18,Campus Job Board,1,Campus,PhD,UC Berkeley,Mathematics,Bachelors,Georgia Tech,Computer Science,,,,,,
198716,Operations Coordinator,Operations,New Application,10/3/17,Advertisement,0,Campus,Bachelors,NYU,Computer Science,,,,,,,,,
1146246,UX Designer,Product,New Application,5/12/18,Career Fair,10,Experienced,PhD,Harvard,Statistics,Bachelors,Columbia,Computer Science,,,,,,
5202177,System Engineer,Engineering,New Application,1/12/16,Advertisement,0,Campus,Bachelors,NYU,Mathematics,,,,,,,,,
1035251,Business Operations Manager,Operations,In-House Interview,6/26/17,Agency,5,Experienced,PhD,Harvard,Computer Science,Masters,MIT,Computer Science,Bachelors,Columbia,Mathematics,,,
683459,Associate Relationship Manager,Sales,New Application,12/22/18,Campus Job Board,0,Campus,Masters,UC Berkeley,Mathematics,Bachelors,MIT,Mathematics,,,,,,
715127,Associate Product Manager,Product,New Application,11/14/18,Campus Job Board,0,Campus,Bachelors,Columbia,Statistics,,,,,,,,,
698642,System Engineer,Engineering,In-House Interview,10/27/17,Career Fair,0,Campus,Bachelors,University of Texas,English,,,,,,,,,
6312282,Operations Coordinator,Operations,New Application,11/1/18,Website,0,Campus,Masters,Harvard,Economics,Bachelors,MIT,Management,,,,,,
343427,Operations Coordinator,Operations,New Application,11/11/16,Career Fair,1,Campus,PhD,Harvard,Computer Science,Bachelors,Harvard,Computer Science,,,,,,
6237647,System Engineer,Engineering,Phone Screen,9/1/17,Campus Event,1,Campus,Bachelors,University of Texas,Statistics,PhD,MIT,Computer Science,,,,,,
2162391,System Engineer,Engineering,New Application,10/19/17,Career Fair,1,Campus,Bachelors,MIT,Statistics,PhD,Columbia,Statistics,,,,,,
505709,Financial Analyst,Finance,New Application,8/2/18,Career Fair,0,Campus,Bachelors,NYU,Mathematics,,,,,,,,,
170375,System Engineer,Engineering,New Application,10/25/16,Website,0,Campus,Bachelors,NYU,Mathematics,,,,,,,,,
6095774,Finance Manager,Finance,New Application,12/4/18,Agency,4,Experienced,Bachelors,Harvard,Business,,,,,,,,,
2839586,Associate Relationship Manager,Sales,New Application,11/18/17,Campus Job Board,0,Campus,Masters,Georgia Tech,Political Science,Bachelors,Columbia,Economics,,,,,,
513827,Operations Coordinator,Operations,New Application,1/27/16,Campus Job Board,0,Campus,Masters,NYU,Statistics,Bachelors,MIT,Statistics,Bachelors,MIT,Statistics,,,
1059992,System Engineer,Engineering,In-House Interview,2/6/18,Website,0,Campus,Bachelors,Harvard,Computer Science,PhD,Vanderbilt,Computer Science,,,,,,
58076,System Engineer,Engineering,New Application,10/23/17,Campus Job Board,0,Campus,Bachelors,NYU,English,,,,,,,,,
3285,System Engineer,Engineering,Offer Sent,12/23/17,Career Fair,0,Campus,Bachelors,Columbia,Computer Science,,,,,,,,,
2493347,Sr. Software Engineer,Engineering,New Application,5/5/18,Agency,7,Experienced,Bachelors,Harvard,English,PhD,Columbia,Computer Science,,,,,,
1802202,Associate Relationship Manager,Sales,New Application,9/30/17,Campus Job Board,0,Campus,Bachelors,Harvard,Mathematics,,,,,,,,,
123662,Associate Relationship Manager,Sales,New Application,1/2/17,Campus Job Board,0,Campus,Bachelors,Columbia,Computer Science,,,,,,,,,
4066476,System Engineer,Engineering,New Application,12/31/18,Campus Event,0,Campus,PhD,University of Texas,Physics,Masters,Vanderbilt,English,Bachelors,UC Berkeley,Mathematics,,,
2844267,System Engineer,Engineering,New Application,10/12/17,Campus Job Board,1,Campus,Bachelors,University of Texas,Statistics,Masters,Vanderbilt,Mathematics,Masters,Columbia,Statistics,,,
1337762,Account Executive,Sales,New Application,8/18/18,Advertisement,6,Experienced,Bachelors,NYU,English,,,,,,,,,
2543901,Associate Relationship Manager,Sales,New Application,1/1/18,Campus Job Board,0,Campus,Bachelors,NYU,Computer Science,,,,,,,,,
1850471,System Engineer,Engineering,New Application,3/15/16,Campus Job Board,2,Campus,Bachelors,Georgia Tech,Computer Science,PhD,Harvard,Physics,,,,,,
427371,IT Analyst,IT,New Application,12/26/18,Campus Job Board,1,Campus,Masters,Columbia,Economics,Bachelors,NYU,Computer Science,,,,,,
1863582,Associate Relationship Manager,Sales,New Application,8/25/18,Campus Event,0,Campus,Bachelors,Harvard,Psychology,,,,,,,,,
1765532,System Engineer,Engineering,New Application,1/19/16,Website,2,Campus,Bachelors,University of Texas,Computer Science,Masters,Columbia,Computer Science,PhD,Georgia Tech,Computer Science,,,
6222527,Finance Manager,Finance,Phone Screen,8/6/17,Website,7,Experienced,PhD,Columbia,Management,Bachelors,NYU,Business,,,,,,
901172,Finance Manager,Finance,New Application,11/10/16,Website,4,Experienced,Bachelors,MIT,Political Science,,,,,,,,,
593501,Sr. Product Manager,Product,In-House Interview,7/12/18,Agency,7,Experienced,Bachelors,UC Berkeley,Computer Science,PhD,Columbia,Computer Science,,,,,,
178422,System Engineer,Engineering,New Application,9/6/18,Career Fair,0,Campus,Bachelors,Harvard,Statistics,,,,,,,,,
6141831,Business Operations Manager,Operations,Phone Screen,2/27/17,Website,6,Experienced,Bachelors,NYU,Economics,,,,,,,,,
1820687,System Engineer,Engineering,In-House Interview,10/31/16,Campus Job Board,3,Campus,Bachelors,Harvard,Computer Science,,,,,,,,,
489716,Sr. Customer Service Operations Associate,Operations,New Application,6/23/16,Outsourced,14,Experienced,Bachelors,NYU,Economics,,,,,,,,,
5240571,Associate Relationship Manager,Sales,New Application,10/20/18,Campus Job Board,0,Campus,Bachelors,University of Texas,Business,,,,,,,,,
6100691,System Engineer,Engineering,Phone Screen,1/26/17,Campus Job Board,2,Campus,Masters,Columbia,Statistics,Bachelors,Georgia Tech,Computer Science,Bachelors,Georgia Tech,Computer Science,,,
6220892,System Engineer,Engineering,Phone Screen,11/16/16,Career Fair,0,Campus,Bachelors,NYU,Mathematics,,,,,,,,,
6329882,System Engineer,Engineering,Phone Screen,11/11/18,Advertisement,0,Campus,Masters,NYU,Physics,Bachelors,Vanderbilt,Statistics,Bachelors,Vanderbilt,Statistics,,,
311937,Finance Manager,Finance,New Application,2/3/17,Website,5,Experienced,Bachelors,Vanderbilt,Business,Bachelors,Harvard,Business,,,,,,
4767941,System Engineer,Engineering,New Application,11/6/17,Advertisement,0,Campus,Masters,NYU,Mathematics,Bachelors,Harvard,Computer Science,Bachelors,Harvard,Mathematics,,,
8793,Associate Relationship Manager,Sales,New Application,10/28/17,Campus Job Board,0,Campus,Bachelors,Georgia Tech,Computer Science,,,,,,,,,
2610636,Associate Relationship Manager,Sales,New Application,10/8/17,Campus Job Board,0,Campus,Bachelors,Georgia Tech,Management,,,,,,,,,
76001,System Engineer,Engineering,New Application,2/19/17,Campus Job Board,0,Campus,Bachelors,University of Washington,Computer Science,,,,,,,,,
73690,Business Operations Manager,Operations,Offer Sent,5/4/17,Agency,8,Experienced,Bachelors,University of Texas,Economics,PhD,NYU,Political Science,,,,,,
4529756,System Engineer,Engineering,New Application,11/11/18,Career Fair,2,Campus,Bachelors,Harvard,Mathematics,PhD,Harvard,Economics,,,,,,
531231,System Engineer,Engineering,New Application,3/14/17,Advertisement,1,Campus,Bachelors,Harvard,Computer Science,Masters,University of Michigan,Computer Science,Masters,University of Michigan,Statistics,,,
5675747,Operations Coordinator,Operations,New Application,9/25/17,Campus Job Board,0,Campus,Bachelors,Harvard,Economics,Bachelors,University of Washington,Business,,,,,,
193118,Associate Relationship Manager,Sales,New Application,11/24/18,Campus Job Board,0,Campus,Bachelors,UC Berkeley,Computer Science,,,,,,,,,
325734,Associate Relationship Manager,Sales,New Application,9/22/18,Website,1,Campus,Masters,Harvard,Economics,Bachelors,Harvard,English,,,,,,
102984,System Engineer,Engineering,In-House Interview,11/16/16,Campus Event,0,Campus,Bachelors,Harvard,Statistics,,,,,,,,,
6329166,Financial Analyst,Finance,New Application,12/17/18,Campus Job Board,0,Campus,Bachelors,NYU,Sociology,,,,,,,,,
109511,Associate Relationship Manager,Sales,New Application,10/24/17,Campus Job Board,0,Campus,Bachelors,University of Texas,Sociology,,,,,,,,,
359642,Associate Relationship Manager,Sales,In-House Interview,12/23/18,Advertisement,3,Campus,Bachelors,Columbia,Statistics,Bachelors,MIT,Computer Science,,,,,,
2107959,Associate Product Manager,Product,New Application,9/4/18,Campus Job Board,1,Campus,PhD,Harvard,Statistics,Bachelors,NYU,Mathematics,,,,,,
6142574,Associate Relationship Manager,Sales,Phone Screen,3/5/16,Campus Job Board,0,Campus,Bachelors,University of Washington,Sociology,Bachelors,MIT,Statistics,,,,,,
22166,System Engineer,Engineering,New Application,2/2/16,Career Fair,0,Campus,Bachelors,University of Michigan,Statistics,,,,,,,,,
661052,Financial Analyst,Finance,New Application,10/6/18,Website,0,Campus,Bachelors,University of Washington,Computer Science,Masters,UC Berkeley,Statistics,Masters,MIT,Mathematics,,,
5240,System Engineer,Engineering,New Application,1/4/16,Advertisement,0,Campus,Bachelors,MIT,Computer Science,,,,,,,,,
2531,System Engineer,Engineering,Offer Sent,12/31/18,Campus Event,1,Campus,Bachelors,Georgia Tech,Computer Science,PhD,Harvard,English,,,,,,
197465,Operations Coordinator,Operations,New Application,10/18/16,Campus Job Board,0,Campus,Bachelors,MIT,Computer Science,,,,,,,,,
629807,Operations Coordinator,Operations,New Application,12/24/16,Website,0,Campus,Masters,Vanderbilt,Economics,Bachelors,Vanderbilt,Economics,,,,,,
6291987,Associate Relationship Manager,Sales,Phone Screen,1/31/17,Advertisement,0,Campus,Bachelors,MIT,Business,,,,,,,,,
1451859,System Engineer,Engineering,New Application,9/3/18,Career Fair,0,Campus,Bachelors,Vanderbilt,Computer Science,,,,,,,,,
3447947,Associate Relationship Manager,Sales,New Application,12/5/17,Career Fair,0,Campus,Bachelors,University of Washington,Mathematics,,,,,,,,,
214691,Associate Relationship Manager,Sales,New Application,11/15/17,Campus Job Board,0,Campus,Bachelors,Vanderbilt,Statistics,,,,,,,,,
4925021,Business Operations Manager,Operations,New Application,5/13/18,Advertisement,7,Experienced,Bachelors,Harvard,English,,,,,,,,,
1937526,IT Analyst,IT,New Application,2/6/18,Advertisement,0,Campus,Bachelors,University of Michigan,Economics,Bachelors,Harvard,Computer Science,,,,,,
105512,System Engineer,Engineering,New Application,2/5/18,Campus Job Board,3,Campus,Bachelors,University of Michigan,Mathematics,Masters,Harvard,Mathematics,Masters,Vanderbilt,Mathematics,,,
5625782,Associate Product Manager,Product,In-House Interview,3/10/18,Campus Job Board,0,Campus,Bachelors,Harvard,Sociology,PhD,University of Texas,Business,,,,,,
105441,System Engineer,Engineering,New Application,1/3/18,Campus Job Board,2,Campus,Bachelors,University of Texas,Statistics,Masters,MIT,Mathematics,PhD,University of Texas,Economics,,,
3727734,Associate Relationship Manager,Sales,New Application,10/22/17,Campus Job Board,0,Campus,Bachelors,MIT,Psychology,,,,,,,,,
550887,Account Executive,Sales,New Application,7/20/18,Website,6,Experienced,Bachelors,University of Texas,Economics,Bachelors,Harvard,Economics,,,,,,
5157566,System Engineer,Engineering,New Application,12/7/18,Campus Job Board,0,Campus,Masters,NYU,Mathematics,Bachelors,Harvard,Computer Science,Bachelors,Harvard,Mathematics,,,
62150,Associate Product Manager,Product,New Application,10/20/17,Career Fair,0,Campus,Bachelors,Harvard,Statistics,,,,,,,,,
1528472,System Engineer,Engineering,New Application,11/26/17,Website,1,Campus,Masters,University of Michigan,Statistics,Bachelors,Vanderbilt,Mathematics,Bachelors,Vanderbilt,Statistics,,,
6255906,System Engineer,Engineering,Phone Screen,11/13/16,Website,2,Campus,PhD,Vanderbilt,Statistics,Bachelors,MIT,Computer Science,,,,,,
36918,System Engineer,Engineering,New Application,10/28/17,Campus Job Board,0,Campus,Bachelors,University of Texas,Mathematics,,,,,,,,,
2158334,Finance Manager,Finance,New Application,3/22/16,Advertisement,7,Experienced,Bachelors,UC Berkeley,Economics,Bachelors,Vanderbilt,Economics,,,,,,
1210772,Associate Relationship Manager,Sales,New Application,12/8/16,Career Fair,1,Campus,Bachelors,Harvard,Computer Science,Masters,Harvard,Computer Science,Masters,Harvard,Computer Science,,,
1465031,System Engineer,Engineering,New Application,9/30/16,Career Fair,1,Campus,Masters,NYU,English,Bachelors,University of Texas,Statistics,Bachelors,University of Texas,Computer Science,,,
783317,Associate Product Manager,Product,New Application,12/22/17,Campus Job Board,0,Campus,Bachelors,Harvard,Political Science,,,,,,,,,
16326,System Engineer,Engineering,New Application,12/1/16,Career Fair,0,Campus,Bachelors,NYU,Computer Science,,,,,,,,,
1318976,Associate Relationship Manager,Sales,New Application,8/25/18,Campus Event,0,Campus,Masters,Columbia,Computer Science,Bachelors,University of Michigan,Physics,,,,,,
6230837,Associate Relationship Manager,Sales,Phone Screen,10/25/16,Career Fair,0,Campus,Bachelors,University of Michigan,English,,,,,,,,,
5391,Operations Coordinator,Operations,New Application,3/20/16,Advertisement,0,Campus,Bachelors,MIT,English,,,,,,,,,
42532,Sr. Product Manager,Product,New Application,4/18/18,Agency,10,Experienced,Bachelors,University of Texas,Computer Science,PhD,UC Berkeley,Mathematics,,,,,,
3940791,Associate Relationship Manager,Sales,New Application,1/13/18,Campus Job Board,2,Campus,Bachelors,Georgia Tech,Statistics,Masters,Georgia Tech,Physics,Masters,Harvard,Mathematics,,,
4553592,Associate Product Manager,Product,New Application,11/24/16,Campus Job Board,0,Campus,Bachelors,UC Berkeley,English,,,,,,,,,
568086,Business Operations Manager,Operations,In-House Interview,7/6/18,Agency,7,Experienced,Bachelors,NYU,Statistics,Bachelors,Harvard,Economics,,,,,,
1090671,IT Analyst,IT,New Application,8/22/18,Campus Event,0,Campus,PhD,Georgia Tech,Physics,Bachelors,Columbia,Statistics,,,,,,
2471532,System Engineer,Engineering,In-House Interview,9/1/16,Campus Event,2,Campus,Bachelors,University of Texas,Physics,,,,,,,,,
1760066,Operations Generalist,Operations,New Application,10/12/18,Campus Job Board,0,Campus,Bachelors,Columbia,Statistics,Bachelors,Harvard,Statistics,,,,,,
360359,Operations Coordinator,Operations,New Application,10/27/17,Career Fair,0,Campus,Bachelors,Harvard,Computer Science,,,,,,,,,
2471532,System Engineer,Engineering,Offer Sent,9/1/16,Campus Event,2,Campus,Bachelors,University of Texas,Physics,,,,,,,,,
498561,System Engineer,Engineering,New Application,9/6/17,Campus Event,2,Campus,Bachelors,University of Texas,Computer Science,PhD,NYU,Mathematics,,,,,,
3304671,Associate Relationship Manager,Sales,New Application,10/19/17,Campus Job Board,0,Campus,Bachelors,University of Texas,Economics,,,,,,,,,
4145702,Operations Generalist,Operations,New Application,12/6/17,Advertisement,0,Campus,Bachelors,Georgia Tech,Management,Bachelors,University of Texas,Business,,,,,,
386084,Associate Relationship Manager,Sales,New Application,12/22/18,Campus Job Board,0,Campus,Masters,University of Texas,Mathematics,Bachelors,Harvard,Political Science,,,,,,
3162057,Sr. Business Analyst,IT,New Application,6/6/16,Agency,10,Experienced,Masters,Georgia Tech,Economics,Bachelors,Columbia,Computer Science,,,,,,
131397,Associate Product Manager,Product,New Application,11/28/18,Campus Job Board,1,Campus,Masters,University of Texas,Computer Science,Bachelors,Harvard,Mathematics,,,,,,
6074421,System Engineer,Engineering,Phone Screen,9/1/18,Campus Event,0,Campus,Bachelors,MIT,Physics,,,,,,,,,
904967,Associate Relationship Manager,Sales,New Application,10/15/17,Campus Job Board,0,Campus,Bachelors,Vanderbilt,Mathematics,,,,,,,,,
23993,IT Analyst,IT,New Application,10/1/16,Career Fair,0,Campus,Bachelors,Columbia,Computer Science,,,,,,,,,
1852341,Financial Analyst,Finance,New Application,1/30/18,Campus Job Board,1,Campus,Bachelors,Vanderbilt,Statistics,Masters,MIT,Physics,Masters,NYU,Mathematics,,,
4007571,Associate Relationship Manager,Sales,New Application,8/1/18,Campus Job Board,0,Campus,Masters,Harvard,English,Bachelors,Vanderbilt,Management,,,,,,
2790,Associate Relationship Manager,Sales,New Application,8/17/18,Campus Event,0,Campus,Bachelors,Harvard,Mathematics,,,,,,,,,
1136159,Associate Product Manager,Product,New Application,8/12/18,Campus Job Board,0,Campus,Bachelors,Harvard,English,,,,,,,,,
2570487,UX Designer,Product,New Application,11/24/18,Agency,4,Experienced,Bachelors,Harvard,Business,,,,,,,,,
988071,Operations Coordinator,Operations,New Application,12/22/17,Campus Event,0,Campus,Bachelors,NYU,Computer Science,PhD,University of Texas,English,,,,,,
174456,System Engineer,Engineering,New Application,9/3/18,Career Fair,0,Campus,Bachelors,MIT,Physics,,,,,,,,,
6176481,Sr. Business Analyst,IT,Phone Screen,9/22/17,Agency,13,Experienced,Bachelors,Columbia,Physics,,,,,,,,,
1491567,Associate Relationship Manager,Sales,New Application,9/21/18,Campus Job Board,0,Campus,Bachelors,MIT,Economics,,,,,,,,,
66011,System Engineer,Engineering,New Application,3/19/17,Campus Job Board,0,Campus,Bachelors,Georgia Tech,Mathematics,,,,,,,,,
160668,System Engineer,Engineering,New Application,10/28/17,Campus Job Board,0,Campus,Bachelors,Harvard,Computer Science,,,,,,,,,
5091017,Operations Coordinator,Operations,New Application,9/5/18,Career Fair,0,Campus,Bachelors,MIT,Computer Science,,,,,,,,,
6260774,Associate Relationship Manager,Sales,Phone Screen,12/15/18,Campus Job Board,0,Campus,Bachelors,University of Texas,Statistics,,,,,,,,,
917682,System Engineer,Engineering,New Application,12/2/17,Advertisement,0,Campus,Bachelors,University of Washington,Statistics,,,,,,,,,
6188636,Financial Analyst,Finance,New Application,8/28/18,Website,1,Campus,Bachelors,Columbia,Business,Bachelors,NYU,Economics,,,,,,
323072,Associate Product Manager,Product,In-House Interview,12/23/18,Website,0,Campus,Bachelors,UC Berkeley,Mathematics,,,,,,,,,
6366191,IT Analyst,IT,Phone Screen,8/9/17,Advertisement,4,Campus,Bachelors,NYU,Physics,PhD,Harvard,Economics,,,,,,
224576,System Engineer,Engineering,New Application,2/26/17,Advertisement,0,Campus,Bachelors,MIT,Statistics,,,,,,,,,
2601,Associate Relationship Manager,Sales,Offer Sent,12/12/18,Advertisement,2,Campus,JD,University of Michigan,Mathematics,Bachelors,University of Texas,Political Science,,,,,,
422556,System Engineer,Engineering,In-House Interview,1/7/18,Campus Job Board,2,Campus,Bachelors,Georgia Tech,Mathematics,PhD,MIT,Computer Science,,,,,,
252834,System Engineer,Engineering,In-House Interview,9/23/16,Career Fair,0,Campus,PhD,Vanderbilt,Mathematics,Bachelors,MIT,Physics,,,,,,
458702,Associate Product Manager,Product,New Application,1/8/16,Website,0,Campus,Bachelors,Harvard,Economics,,,,,,,,,
887334,Associate Relationship Manager,Sales,New Application,11/4/18,Campus Job Board,0,Campus,Bachelors,University of Washington,Statistics,,,,,,,,,
4452731,Associate Relationship Manager,Sales,New Application,9/30/18,Campus Event,0,Campus,Bachelors,University of Washington,Psychology,,,,,,,,,
281459,Associate Relationship Manager,Sales,New Application,10/14/18,Campus Job Board,3,Campus,Bachelors,Columbia,Computer Science,PhD,Columbia,Physics,,,,,,
210836,System Engineer,Engineering,New Application,3/13/18,Website,2,Campus,PhD,MIT,English,Bachelors,Columbia,Computer Science,,,,,,
4309406,System Engineer,Engineering,New Application,11/22/17,Campus Job Board,0,Campus,Bachelors,MIT,Economics,,,,,,,,,
132846,Associate Relationship Manager,Sales,New Application,10/28/16,Website,2,Campus,PhD,University of Texas,Political Science,Bachelors,Harvard,Economics,,,,,,
3985247,Associate Relationship Manager,Sales,In-House Interview,2/7/16,Campus Job Board,3,Campus,Masters,Columbia,Management,Bachelors,UC Berkeley,Music,,,,,,
175346,Associate Product Manager,Product,New Application,10/11/16,Campus Event,0,Campus,Bachelors,MIT,Statistics,,,,,,,,,
128834,Associate Relationship Manager,Sales,New Application,10/22/18,Campus Event,0,Campus,Bachelors,Harvard,Psychology,,,,,,,,,
3010622,System Engineer,Engineering,New Application,2/7/17,Advertisement,0,Campus,Bachelors,NYU,English,,,,,,,,,
